Author,year_published,reference_period,midpoint_ref,country,ISO,cases,denominator,denom_type,mnm_ratio,area,location_detail,pop_based,mnm_criteria,icu_only,id,region,citation,criteria_clean,criteria_type
Karolinski,2013,2008-2009,2008.5,Argentina,ARG,518,65033,livebirths,7.97,Regional,25 hospitals across Buenos Aires ,0,WHO,0,1,Latin America and the Caribbean,Karolinski et al. (2013),WHO,who
De Mucio,2016,2013-2014,2013.5,Argentina,ARG,2,762,livebirths,2.62,Regional ,3 hospitals with >3000 deliveries a year ,0,WHO,0,2,Latin America and the Caribbean,De Mucio et al. (2016),WHO,who
Duke,2019,2000-2017,2008.5,Australia,AUS,34008,854777,livebirths,39.79,Regional ,Victoria,1,WHO and ACOG,0,3,Oceania,Duke  et al. (2019),composite,other
Adane,2020,2002-2015,2008.5,Australia,AUS,9378,410043,maternities ,22.87,Regional ,Western Australia,1,New south wales criteria,0,4,Oceania,Adane  et al. (2020),New south wales criteria,other
Sikder,2014,2007-2011,2009.5,Bangladesh,BGD,1004,42214,pregnant women,23.78,Regional ,Rural North West population based enrolled in JiVitA trial,1,WHO modified,0,5,Central and Southern Asia,Sikder  et al. (2014),Modified WHO,who
Ceccati,2015,2009-2010,2009.5,Brazil,BRA,770,82144,livebirths,9.37,National,Survey of 27 facilities ,0,WHO,0,6,Latin America and the Caribbean,Ceccati  et al. (2015),WHO,who
Dias,2014,2011-2012,2011.5,Brazil,BRA,23747,2325394,livebirths,10.21,National ,,0,WHO,0,7,Latin America and the Caribbean,Dias  et al. (2014),WHO,who
Dzakpasu,2020,2012-2016,2014.5,Canada,CAN,22799,1418545,deliveries,16.07,National ,Excluding quebec,1,Canadian perinatal,0,8,Europe and Northern America,Dzakpasu et al. (2020),Canadian Perinatal Surveillance System,other
Auger,2023,2020-2022,2021.5,Canada,CAN,4982,162576,deliveries ,30.64,Regional ,Quebec,1,Canadian perinatal,0,9,Europe and Northern America,Auger et al. (2023),Canadian Perinatal Surveillance System,other
Chantry,2019,2012-2014,2013.5,Switzerland,CHE,4128,247329,deliveries,16.69,National ,,1,"Severe complications (eclampsia, septicaemia, hysterectomy, Hysterectomy from OH, RBC for OH)",0,10,Europe and Northern America,Chantry et al. (2019),Complication-based,other
Yi Mu,2019,2012-2017,2014.5,China,CHN,37060,9051638,pregnant women,4.09,National ,,0,WHO,0,11,Eastern and South-Eastern Asia,Yi Mu et al. (2019),WHO,who
Ma,2020,2012-2017,2014.5,China,CHN,3208,543109,livebirths,5.91,Regional,18 hospitals in Zhejiang province,0,WHO,0,12,Eastern and South-Eastern Asia,Ma et al. (2020),WHO,who
Xiong,2020,2012-2018,2015.5,China,CHN,1751,511793,livebirths,3.42,Regional,17 hospitals in Hunan province,0,WHO,0,13,Eastern and South-Eastern Asia,Xiong et al. (2020),WHO,who
Tan,2015,2009-2010,2009.5,China,CHN,8,34547,livebirths,0.23,Regional ,All deliveries at 8 hospitals in Sichuan province,0,unclear - organ dysfunction,0,14,Eastern and South-Eastern Asia,Tan  et al. (2015),unclear,other
Zhao,2018,2008-2016,2012.5,China,CHN,491,87850,deliveries,5.59,Regional ,3 hospitals Beijing,0,ICU admission,1,15,Eastern and South-Eastern Asia,Zhao et al. (2018),ICU admission,other
Colmorn,2015,2009-2012,2010.5,Denmark,DNK,477,168170,deliveries,2.84,National ,,1,NOSS four severe complications,0,16,Europe and Northern America,Colmorn et al. (2015),Complication-based,other
Goldenberg,2017,2014-2016,2015.5,Democratic Republic of Congo,COD,521,13637,livebirths,38.2,Regional ,Surveillance area,1,Global Network,0,17,Sub-Saharan Africa,Goldenberg et al. (2017),Modified WHO,who
Kibede,2021,2011-2014,2012.5,Ethiopia,ETH,96,1440,pregnant women,66.67,Regional,All 3 hospitals in Gomo gofa zone ,0,unclear,0,18,Sub-Saharan Africa,Kibede et al. (2021),unclear,other
Gebrehiwot,2014,2010-2011,2010.5,Ethiopia,ETH,2568,32541,livebirths,78.92,Regional,10 hospitals in 4 regions linked to health centres and satellite health posts,1,unclear,0,19,Sub-Saharan Africa,Gebrehiwot et al. (2014),unclear,other
Gelato,2019,2015,2015.5,Ethiopia,ETH,67567,323824,livebirths,208.65,National ,,0,PLTC complications,0,20,Sub-Saharan Africa,Gelato et al. (2019),Complication-based,other
Pallasmaa,2014,2007-2011,2009.5,Finland,FIN,3740.84,292253,singleton deliveries ,12.8,National ,,1,Nordic Classification of Surgical Procedures,0,21,Europe and Northern America,Pallasmaa et al. (2014),Nordic Classification of Surgical Procedures,other
Colmorn,2015,2009-2012,2010.5,Finland,FIN,391,145546,deliveries ,2.69,National ,,1,NOSS four severe complications,0,22,Europe and Northern America,Colmorn  et al. (2017),Complication-based,other
Chantry,2019,2012-2014,2013.5,Finland,FIN,568.28,173786,deliveries,3.27,National ,,1,"Severe complications (eclampsia, septicaemia, hysterectomy, Hysterectomy from OH, RBC for OH)",0,23,Europe and Northern America,Chantry et al. (2019),Complication-based,other
Barry,2019,2010-2014,2012.5,France,FRA,16011,4030409,deliveries,3.97,National ,,1,ICU admission,1,24,Europe and Northern America,Barry  et al. (2019),ICU admission,other
Siddiqui,2019,2012-2013,2012.5,France,FRA,2540,182309,deliveries,13.93,Regional,Six regions in France,1,EPIMOMS,0,25,Europe and Northern America,Siddiqui et al. (2019),EPIMOMS,other
Chantry,2019,2014,2014.5,France,FRA,7003,808975,deliveries,8.66,National ,,1,"Severe complications (eclampsia, septicaemia, hysterectomy, Hysterectomy from OH, RBC for OH)",0,26,Europe and Northern America,Chantry et al. (2019),Complication-based,other
Chantry,2019,2013,2013.5,England,GBR,4204,664517,deliveries,6.33,National ,,1,"Severe complications (eclampsia, septicaemia, hysterectomy, Hysterectomy from OH, RBC for OH)",0,27,Europe and Northern America,Chantry et al. (2019),Complication-based,other
Chantry,2019,2012-2014,2013.5,Scotland,GBR,1435,164920,deliveries,8.7,National ,,1,"Severe complications (eclampsia, septicaemia, hysterectomy, Hysterectomy from OH, RBC for OH)",0,28,Europe and Northern America,Chantry et al. (2019),Complication-based,other
Masterson,2022,2005-2018,2011.5,Scotland,GBR,7947,762918,pregnant women,10.42,National ,,1,English Maternal morbidity indicator codes - 17 diagnoses and 9 interventions + ICU,0,29,Europe and Northern America,Masterson et al. (2022),English Maternal morbidity indicator codes - 17 diagnoses and 9 interventions + ICU,other
Chantry,2019,2013-2015,2014.5,Wales,GBR,1154,91431,deliveries,12.62,National ,,1,"Severe complications (eclampsia, septicaemia, hysterectomy, Hysterectomy from OH, RBC for OH)",0,30,Europe and Northern America,Chantry et al. (2019),Complication-based,other
Goldenberg,2017,2014-2016,2015.5,Guatemala,GTM,1221,19712,livebirths,61.94,Regional,"Surveillance area - 1 referral hospital, 30 health centers, and 42 health posts, Chimaltenango region",1,Global Network,0,31,Latin America and the Caribbean,Goldenberg et al. (2017),Modified WHO,who
De Mucio,2016,2013,2013.5,Honduras,HND,10,613,livebirths,16.31,Regional ,2 hospitals with >3000 annual deliveries ,0,WHO,0,32,Latin America and the Caribbean,De Mucio et al. (2016),WHO,who
